"tract","Name","Incarceration_Rate_rP_gP_p50"
6085507301,"Saratoga, CA",0.0325
6085508102,"Santa Clara, CA",0.0279
6085506702,"San Tomas, Campbell, CA",0.0243
6085505900,"Santa Clara, CA",0.0147
6085507402,"Quito Village, Saratoga, CA",0.0126
6085508304,"Sunnyvale West, Sunnyvale, CA",0.0124
6085506601,"Castro, San Jose, CA",0.0117
6085511707,"Cupertino, CA",0.0114
6085505500,"Santa Clara, CA",0.0106
6085506302,"Lynhaven, San Jose, CA",0.0093
6085508303,"Sunnyvale West, Sunnyvale, CA",0.0082
6085506304,"Blackford, San Jose, CA",0.0076
6085511704,"Los Altos Hills, CA",0.0072
6085506202,"Country Lane, San Jose, CA",0.0071
6085506101,"Santa Clara, CA",0.0069
6085508004,"Rancho Rinconada, Cupertino, CA",0.0069
6085506204,"Strawberry Park, San Jose, CA",0.0066
6085506603,"San Tomas Aquinos, Campbell, CA",0.0066
6085508203,"Sunnyvale, CA",0.0065
6085507906,"West San Jose, San Jose, CA",0.0055
6085506301,"West San Jose, San Jose, CA",0.0051
6085508301,"Sunnyvale, CA",0.0049
6085506701,"San Tomas, Campbell, CA",0.0044
6085507401,"Golden Triangle, Saratoga, CA",0.0042
6085507805,"Cupertino, CA",0.004
6085506305,"West San Jose, San Jose, CA",0.0039
6085507903,"Joaquin Miller, San Jose, CA",0.0034
6085507600,"Saratoga, CA",0.003
6085507703,"Cupertino, CA",0.003
6085506103,"Santa Clara, CA",0.003
6085506605,"West San Jose, San Jose, CA",0.0029
6085507701,"Cupertino, CA",0.0024
6085506604,"West San Jose, San Jose, CA",0.0023
6085506203,"West San Jose, San Jose, CA",0.0022
6085506102,"Santa Clara, CA",0.0017
6085505403,"Santa Clara, CA",0.0017
6085508001,"Cupertino, CA",0.0017
6085507905,"West San Jose, San Jose, CA",0.0014
6085507807,"Cupertino, CA",0.0012
6085507808,"Cupertino, CA",0.0008
6085505402,"Santa Clara, CA",0.0008
6085506000,"Santa Clara, CA",0.0008
6085508003,"Rancho Rinconada, Cupertino, CA",0.0005
6085508101,"Cupertino, CA",0.0003
6085507500,"Saratoga, CA",0.0003
6085507702,"Cupertino, CA",0.0003
6085508202,"Birdland Neighbors, Sunnyvale, CA",0.0002
6085511702,"Country Club, Los Altos, CA",0
6085507806,"Cupertino, CA",0
6085510002,"South Los Altos, Los Altos, CA",0
6085506501,"Cadillac East, San Jose, CA",0
6085506606,"Campbell, CA",0
6085510100,"Woodland Acres - The Highlands, Los Altos, CA",0
6085508204,"Panama Park, Sunnyvale, CA",0
6085507904,"Lynbrook, San Jose, CA",0