tract,Name,Incarceration_Rate_rP_gP_pall,Incarceration_Rate_rP_gP_p75,Incarceration_Rate_rP_gP_p50,Incarceration_Rate_rP_gP_p25
24510120500,"Greenmount West, Baltimore, MD",0.1268,0.1486,0.1426,0.1305
24510080800,"Broadway East, Baltimore, MD",0.1161,0.1271,0.1189,0.1135
24510080400,"Broadway East, Baltimore, MD",0.1066,0.1066,0.1039,0.1128
24510180100,"Poppleton, Baltimore, MD",0.1033,0.1028,0.0987,0.1091
24510160200,"Sandtown-Winchester, Baltimore, MD",0.0996,0.0954,0.097,0.1061
24510200400,"Shipley Hill, Baltimore, MD",0.0987,0.0931,0.0915,0.1056
24510090900,"Oliver, Baltimore, MD",0.0931,0.0852,0.0897,0.105
24510250204,"Cherry Hill, Baltimore, MD",0.0911,0.0841,0.0885,0.102
24510100100,"Johnson Square, Baltimore, MD",0.0897,0.0812,0.0873,0.0998
24510200100,"Lexington, Baltimore, MD",0.0883,0.0782,0.0769,0.0984
24510070200,"Madison - Eastend, Baltimore, MD",0.0865,0.0763,0.073,0.0982
24510190100,"Franklin Square, Baltimore, MD",0.0843,0.075,0.0705,0.0927
24510250301,"Westport, Baltimore, MD",0.0843,0.0691,0.0695,0.0911
24510070400,"Gay Street, Baltimore, MD",0.0825,0.0666,0.0694,0.0901
24510200702,"Saint Joseph's, Baltimore, MD",0.0775,0.0653,0.0658,0.0872
24510080301,"Berea, Baltimore, MD",0.0775,0.0639,0.0658,0.0854
24510140300,"Druid Heights, Baltimore, MD",0.0769,0.0578,0.0639,0.085
24510080700,"Broadway East, Baltimore, MD",0.0768,0.0574,0.0638,0.0849
24510140200,"Upton, Baltimore, MD",0.0758,0.0563,0.0592,0.0838
24510120400,"Barclay, Baltimore, MD",0.0743,0.0549,0.058,0.0824
24510080200,"Broadway East, Baltimore, MD",0.074,0.0549,0.0578,0.0806
24510160700,"Rosemont, Baltimore, MD",0.0725,0.0526,0.0571,0.0795
24510170100,"Downtown, Baltimore, MD",0.0725,0.051,0.0565,0.0787
24510200200,"Lexington, Baltimore, MD",0.0722,0.0501,0.0563,0.0779
24510130200,"Reservoir Hill, Baltimore, MD",0.0722,0.0501,0.0557,0.0778
24510190200,"Pratt Monroe, Baltimore, MD",0.0708,0.0498,0.0554,0.0773
24510130300,"Penn North, Baltimore, MD",0.0704,0.0496,0.0546,0.0762
24510120600,"Old Goucher, Baltimore, MD",0.0703,0.048,0.0539,0.0757
24510280302,"West Forest Park, Baltimore, MD",0.0703,0.0478,0.0518,0.0755
24510170300,"Upton, Baltimore, MD",0.0698,0.0476,0.0513,0.0737
24510180200,"Poppleton, Baltimore, MD",0.0689,0.0472,0.051,0.0726
24510250207,"Cherry Hill, Baltimore, MD",0.0684,0.0452,0.0509,0.0725
24510190300,"Mount Clare, Baltimore, MD",0.0675,0.0442,0.0508,0.0724
24510271001,"Baltimore, MD",0.0671,0.0436,0.0501,0.0723
24510260604,"O'Donnell Heights, Baltimore, MD",0.067,0.0429,0.0498,0.0721
24510130400,"Woodbrook, Baltimore, MD",0.0661,0.0429,0.0498,0.072
24510160801,"Edmondson, Baltimore, MD",0.0661,0.0427,0.0485,0.0717
24510260402,"Frankford, Baltimore, MD",0.066,0.0411,0.0467,0.0716
24510060400,"Baltimore, MD",0.0656,0.0409,0.0467,0.0706
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.0652,0.0401,0.0466,0.0702
24510100200,"Baltimore, MD",0.0651,0.0394,0.046,0.0697
24510271600,"Edgecomb, Baltimore, MD",0.0649,0.039,0.0459,0.0692
24510210100,"Pigtown, Baltimore, MD",0.0645,0.0373,0.0456,0.069
24510120300,"Harwood, Baltimore, MD",0.0644,0.037,0.0452,0.0689
24510090800,"East Baltimore Midway, Baltimore, MD",0.0634,0.0368,0.0447,0.0688
24510080500,"Darley Park, Baltimore, MD",0.0613,0.0366,0.0443,0.0679
24510130100,"Reservoir Hill, Baltimore, MD",0.061,0.0363,0.0437,0.0668
24510060300,"Butchers Hill, Baltimore, MD",0.0608,0.0357,0.0434,0.066
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.0607,0.035,0.0431,0.0655
24510260301,"Belair - Edison, Baltimore, MD",0.0602,0.035,0.0428,0.0653
24510170200,"McCulloh Homes, Baltimore, MD",0.0594,0.0347,0.0428,0.0648
24510070100,"Baltimore, MD",0.0587,0.0346,0.0428,0.0648
24510260403,"Cedonia, Baltimore, MD",0.0584,0.0339,0.0421,0.0646
24510150600,"NW Community Action, Baltimore, MD",0.0582,0.0336,0.0418,0.0638
24510250203,"Cherry Hill, Baltimore, MD",0.058,0.0335,0.0417,0.0637
24510150300,"Coppin Heights, Baltimore, MD",0.0579,0.0334,0.0416,0.0635
24510150100,"Sandtown-Winchester, Baltimore, MD",0.0578,0.0331,0.0415,0.0635
24005402305,"Lochearn, Pikesville, MD",0.0577,0.0329,0.0414,0.0631
24510280500,"Pleasant View Gardens, Baltimore, MD",0.0575,0.0328,0.0413,0.063
24510151200,"Park Circle, Baltimore, MD",0.0575,0.0324,0.0408,0.0624
24510180300,"Hollins Market, Baltimore, MD",0.057,0.0323,0.0406,0.0618
24510070300,"Milton - Montford, Baltimore, MD",0.0563,0.0321,0.0403,0.0616
24510271801,"Arlington, Baltimore, MD",0.056,0.0311,0.0394,0.0612
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.0557,0.0311,0.0392,0.0605
24510160802,"Edmondson, Baltimore, MD",0.0557,0.031,0.0391,0.0602
24510080302,"Berea, Baltimore, MD",0.0556,0.0308,0.038,0.0597
24510280402,"Rognel Heights, Baltimore, MD",0.0554,0.0307,0.038,0.0597
24510060100,"Patterson Park, Baltimore, MD",0.0551,0.0304,0.0377,0.0596
24510280102,"Gwynn Oak, Baltimore, MD",0.0541,0.0303,0.037,0.0594
24510271700,"Central Park Heights, Baltimore, MD",0.0541,0.0301,0.0369,0.0592
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.0535,0.0301,0.0366,0.0591
24510160100,"Harlem Park, Baltimore, MD",0.0535,0.0301,0.0366,0.0589
24510160400,"Midtown Edmondson, Baltimore, MD",0.0534,0.0298,0.0363,0.0589
24510200600,"Baltimore, MD",0.0534,0.0297,0.036,0.0587
24510151300,"Central Park Heights, Baltimore, MD",0.0533,0.0295,0.0353,0.0585
24510080102,"Belair - Edison, Baltimore, MD",0.0529,0.0295,0.035,0.0583
24510150200,"Sandtown-Winchester, Baltimore, MD",0.052,0.0294,0.0349,0.0581
24510271002,"Winston - Govans, Baltimore, MD",0.0517,0.0292,0.0347,0.0575
24510140100,"Bolton Hill, Baltimore, MD",0.0511,0.0289,0.0347,0.0574
24510150900,"Windsor Hills, Baltimore, MD",0.0499,0.0273,0.0341,0.0572
24510080600,"Broadway East, Baltimore, MD",0.0499,0.0272,0.0341,0.0568
24510150701,"Hanlon Longwood, Baltimore, MD",0.0497,0.0271,0.034,0.0568
24510200500,"Mill Hill, Baltimore, MD",0.0496,0.0268,0.0336,0.0565
24005421300,"Dundalk, MD",0.0496,0.0261,0.0335,0.0563
24510200800,"Irvington, Baltimore, MD",0.0494,0.0261,0.0334,0.0562
24510250102,"Yale Heights, Baltimore, MD",0.0493,0.0259,0.0332,0.0552
24510260202,"Parkside, Baltimore, MD",0.0493,0.0257,0.0332,0.0549
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.0489,0.0256,0.033,0.0546
24510060200,"Baltimore, MD",0.0484,0.0255,0.0327,0.0546
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.0478,0.0254,0.0327,0.0545
24005420302,"Dundalk, MD",0.0474,0.0253,0.0327,0.0544
24510250402,"Brooklyn, Baltimore, MD",0.0469,0.0252,0.0326,0.0541
24510090400,"Better Waverly, Baltimore, MD",0.0462,0.0247,0.0325,0.0541
24510150702,"Walbrook, Baltimore, MD",0.0462,0.0246,0.0322,0.0537
24510260302,"Belair - Edison, Baltimore, MD",0.044,0.024,0.0321,0.0534
24510020100,"Upper Fells Point, Baltimore, MD",0.0437,0.0239,0.0321,0.0534
24510150400,"Mondawmin, Baltimore, MD",0.0436,0.0234,0.032,0.0532
24510160300,"Sandtown-Winchester, Baltimore, MD",0.0417,0.0233,0.0317,0.0532
24510280301,"Gwynn Oak, Baltimore, MD",0.0416,0.0232,0.0316,0.0532
24510250101,"Beechfield, Baltimore, MD",0.0415,0.0232,0.0313,0.0531
24510250500,"Curtis Bay, Baltimore, MD",0.0413,0.0223,0.0312,0.0531
24005402404,"Gwynn Oak, Lochearn, MD",0.0411,0.0223,0.031,0.0528
24510260203,"Frankford, Baltimore, MD",0.041,0.0222,0.0309,0.0526
24005451401,"Middle River, MD",0.0409,0.0222,0.0309,0.0525
24510151000,"Dorchester, Baltimore, MD",0.0404,0.0221,0.0308,0.0523
24510271900,"Glen, Baltimore, MD",0.0404,0.0221,0.0306,0.0523
24510261000,"Patterson Park, Baltimore, MD",0.0399,0.0218,0.0302,0.0519
24510270901,"New Northwood, Baltimore, MD",0.0399,0.0217,0.0302,0.0518
24510280200,"Gwynn Oak, Baltimore, MD",0.0396,0.0217,0.0299,0.0517
24005401302,"Gwynn Oak, Baltimore, MD",0.0393,0.021,0.0295,0.0514
24510260800,"Baltimore Highlands, Baltimore, MD",0.0392,0.0208,0.0292,0.0513
24510270902,"Perring Loch, Baltimore, MD",0.0386,0.0207,0.0291,0.0512
24510270802,"Ramblewood, Baltimore, MD",0.0386,0.0205,0.0288,0.0508
24510030100,"Perkins Homes, Baltimore, MD",0.0385,0.0202,0.0288,0.0507
24510110100,"Downtown, Baltimore, MD",0.0381,0.0202,0.0287,0.0505
24510160600,"Mosher, Baltimore, MD",0.0379,0.0199,0.0287,0.0504
24510270903,"Hillen, Baltimore, MD",0.0377,0.0197,0.0284,0.0503
24510260201,"Frankford, Baltimore, MD",0.0377,0.0197,0.0283,0.0502
24005450504,"Essex, MD",0.0377,0.0196,0.0281,0.0501
24005402405,"Gwynn Oak, Baltimore, MD",0.0375,0.0195,0.0281,0.05
24510260303,"Claremont - Freedom, Baltimore, MD",0.0362,0.0193,0.0278,0.0499
24510270805,"Mid-Govans, Baltimore, MD",0.036,0.0189,0.0273,0.0499
24510280404,"Irvington, Baltimore, MD",0.0358,0.0188,0.0271,0.0498
24510230200,"South Baltimore, Baltimore, MD",0.0356,0.0187,0.0268,0.0496
24510090500,"Better Waverly, Baltimore, MD",0.0356,0.0186,0.0266,0.0489
24510250205,"Lakeland, Baltimore, MD",0.0355,0.0185,0.0264,0.0488
24005401200,"Woodlawn, MD",0.0355,0.0184,0.0263,0.0486
24510280101,"Reisterstown Station, Baltimore, MD",0.0354,0.0184,0.0262,0.0485
24005441000,"Baltimore, MD",0.0354,0.0181,0.026,0.0484
24510010200,"Patterson Park, Baltimore, MD",0.0353,0.0178,0.0259,0.0477
24510271802,"Langston Hughes, Baltimore, MD",0.0353,0.0177,0.0258,0.0474
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.0352,0.0176,0.0257,0.0469
24510040100,"Downtown, Baltimore, MD",0.0351,0.0174,0.0257,0.0464
24510150800,"Garwyn Oaks, Baltimore, MD",0.0349,0.0172,0.0255,0.0459
24510010500,"Upper Fells Point, Baltimore, MD",0.0348,0.0172,0.0254,0.0459
24510230100,"Baltimore, MD",0.0347,0.0162,0.0253,0.0458
24510110200,"Downtown, Baltimore, MD",0.0346,0.0159,0.0247,0.0457
24005421200,"Dundalk, MD",0.0344,0.0158,0.0246,0.0452
24005402307,"Pikesville, MD",0.0344,0.0158,0.0244,0.045
24005401102,"Gwynn Oak, Woodlawn, MD",0.034,0.0158,0.0243,0.0449
24510250401,"Brooklyn, Baltimore, MD",0.0339,0.0155,0.024,0.0447
24510260102,"Frankford, Baltimore, MD",0.0337,0.0151,0.024,0.0447
24005420402,"Dundalk, MD",0.0335,0.0149,0.0239,0.0446
24510230300,"South Baltimore, Baltimore, MD",0.0331,0.0144,0.0239,0.0446
24005402303,"Windsor Mill, Baltimore, MD",0.0329,0.0143,0.0239,0.0446
24510010400,"Canton, Baltimore, MD",0.0324,0.0142,0.0236,0.0443
24510080101,"Belair - Edison, Baltimore, MD",0.0321,0.0142,0.0235,0.0438
24510020200,"Upper Fells Point, Baltimore, MD",0.0321,0.014,0.0234,0.0438
24510260101,"Cedmont, Baltimore, MD",0.032,0.0139,0.0233,0.0436
24510120700,"Remington, Baltimore, MD",0.0319,0.0137,0.0228,0.0424
24005452000,"Sparrows Point, MD",0.0318,0.0137,0.0228,0.0422
24005451801,"Middle River, MD",0.0317,0.0134,0.0227,0.0422
24005452500,"Dundalk, MD",0.0316,0.0133,0.0226,0.042
24005402306,"Windsor Mill, Baltimore, MD",0.0315,0.0132,0.0223,0.0417
24005450800,"Essex, MD",0.0312,0.013,0.0223,0.0413
24510151100,"East Arlington, Baltimore, MD",0.0312,0.0129,0.0223,0.0412
24510240300,"Riverside, Baltimore, MD",0.031,0.0128,0.0222,0.0412
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.0308,0.0125,0.0221,0.0408
24003751102,"Glen Burnie, MD",0.0308,0.0124,0.022,0.0406
24510240100,"Locust Point, Baltimore, MD",0.0305,0.0124,0.0218,0.0404
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.0305,0.0124,0.0217,0.0403
24005420702,"Dundalk, MD",0.0302,0.0119,0.0216,0.0403
24510030200,"Little Italy, Baltimore, MD",0.0297,0.0119,0.0215,0.0403
24005491401,"Parkville, MD",0.0296,0.0119,0.0215,0.0402
24005402304,"Gwynn Oak, Baltimore, MD",0.0294,0.0118,0.0212,0.0401
24510250303,"Morrell Park, Baltimore, MD",0.0294,0.0118,0.0211,0.0395
24510260900,"Baltimore, MD",0.0292,0.0116,0.021,0.0395
24005450503,"Essex, MD",0.0291,0.0116,0.0207,0.0391
24510270803,"Loch Raven, Baltimore, MD",0.029,0.0115,0.0205,0.039
24510260700,"Fifteenth Street, Baltimore, MD",0.0288,0.0114,0.0204,0.0385
24510260401,"Armistead Gardens, Baltimore, MD",0.0287,0.0112,0.0204,0.0384
24510210200,"Pigtown, Baltimore, MD",0.0286,0.0111,0.0203,0.0384
24005452300,"Baltimore, MD",0.0284,0.011,0.0202,0.0384
24510010100,"Canton, Baltimore, MD",0.028,0.0107,0.0198,0.0384
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.0277,0.0106,0.0198,0.038
24510260501,"Joseph Lee, Baltimore, MD",0.0275,0.0105,0.0198,0.038
24510260404,"Baltimore Highlands, Baltimore, MD",0.0273,0.0104,0.0197,0.038
24005402603,"Randallstown, MD",0.0271,0.0102,0.0196,0.0375
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.0266,0.0102,0.0196,0.0374
24510010300,"Canton, Baltimore, MD",0.0259,0.0101,0.0194,0.0374
24005450200,"Essex, MD",0.0258,0.0099,0.0192,0.0373
24510130600,"Hampden, Baltimore, MD",0.0258,0.0098,0.0191,0.0372
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.0257,0.0098,0.019,0.037
24005402406,"Windsor Mill, Milford Mill, MD",0.0256,0.0098,0.0186,0.0367
24005450400,"Essex, MD",0.0255,0.0098,0.0185,0.0362
24510270401,"Glenham-Belford, Baltimore, MD",0.0254,0.0097,0.0185,0.0362
24510150500,"Burleith-Leighton, Baltimore, MD",0.0252,0.0096,0.0184,0.0362
24005420401,"Dundalk, MD",0.0248,0.0096,0.0181,0.0355
24005401301,"Woodlawn, MD",0.0247,0.0095,0.0179,0.0354
24510270101,"Arcadia, Baltimore, MD",0.0247,0.009,0.0178,0.0353
24510270501,"Woodring, Baltimore, MD",0.0244,0.0089,0.0175,0.0352
24510200701,"Allendale, Baltimore, MD",0.0243,0.0088,0.017,0.035
24005451701,"Middle River, MD",0.0242,0.0088,0.0168,0.0347
24005421000,"Dundalk, MD",0.0241,0.0088,0.0167,0.0345
24510270301,"Lauraville, Baltimore, MD",0.024,0.0088,0.0167,0.0345
24003750102,"Baltimore, MD",0.0233,0.0087,0.0163,0.0343
24005440701,"Rosedale, MD",0.0232,0.0085,0.0162,0.034
24510280401,"Baltimore, MD",0.023,0.0085,0.0161,0.0339
24510270801,"Idlewood, Baltimore, MD",0.0228,0.0085,0.0161,0.0333
24005402604,"Randallstown, MD",0.0228,0.0085,0.0161,0.0332
24005451500,"Middle River, MD",0.0228,0.0083,0.016,0.0331
24510250600,"Brooklyn, Baltimore, MD",0.0226,0.0083,0.0158,0.0326
24003750201,"Brooklyn, Baltimore, MD",0.0224,0.0083,0.0156,0.0324
24005452400,"Dundalk, MD",0.022,0.0081,0.0154,0.0324
24005451600,"Middle River, MD",0.022,0.0079,0.0154,0.0317
24005403201,"Gwynn Oak, Lochearn, MD",0.0219,0.0076,0.0154,0.0316
24510270804,"Lake Walker, Baltimore, MD",0.0218,0.0076,0.0153,0.0313
24005400702,"Baltimore, MD",0.0205,0.0073,0.0152,0.0311
24005420301,"Dundalk, MD",0.0202,0.0072,0.0152,0.0306
24510240400,"Riverside Park, Baltimore, MD",0.02,0.0071,0.0151,0.0305
24005451402,"Middle River, MD",0.0197,0.0071,0.0151,0.0301
24005452100,"Sparrows Point, MD",0.0195,0.0071,0.0151,0.03
24005402403,"Gwynn Oak, Baltimore, MD",0.0192,0.0069,0.015,0.0297
24005403402,"Pikesville, MD",0.0192,0.0068,0.0149,0.0292
24005440702,"Rosedale, MD",0.0189,0.0068,0.0148,0.0292
24510270102,"Waltherson, Baltimore, MD",0.0186,0.0067,0.0148,0.029
24510260605,"Medford - Broening, Baltimore, MD",0.0186,0.0066,0.0146,0.0288
24005492300,"Essex, MD",0.018,0.0064,0.0145,0.0286
24005451803,"Middle River, MD",0.0175,0.0063,0.0144,0.0284
24510270200,"Lauraville, Baltimore, MD",0.0174,0.0063,0.0141,0.0278
24005400800,"Catonsville, MD",0.0173,0.0061,0.014,0.0277
24005401101,"Woodlawn, MD",0.0172,0.0056,0.014,0.0277
24005401506,"Windsor Mill, Baltimore, MD",0.0171,0.0055,0.014,0.0274
24005492002,"Parkville, MD",0.017,0.0055,0.0136,0.0274
24003750803,"Glen Burnie, MD",0.0168,0.0054,0.0136,0.0273
24005492101,"Parkville, MD",0.0168,0.0054,0.0134,0.027
24005400701,"Catonsville, MD",0.0167,0.0052,0.0133,0.0269
24510130806,"Woodberry, Baltimore, MD",0.0166,0.005,0.0131,0.0262
24005451300,"Middle River, MD",0.0166,0.0049,0.0129,0.0262
24005420600,"Baltimore, MD",0.0164,0.0049,0.0127,0.0261
24005430900,"Baltimore, MD",0.0164,0.0047,0.0127,0.026
24005440300,"Nottingham, MD",0.0163,0.0047,0.0126,0.026
24005400100,"Catonsville, MD",0.0162,0.0047,0.0125,0.026
24005401507,"Windsor Mill, Baltimore, MD",0.0162,0.0046,0.0122,0.0258
24510272007,"Fallstaff, Baltimore, MD",0.0161,0.0045,0.0122,0.0258
24005421102,"Dundalk, MD",0.016,0.0042,0.012,0.0256
24510250206,"Morrell Park, Baltimore, MD",0.016,0.0042,0.0119,0.0243
24005451000,"Essex, MD",0.016,0.0041,0.0119,0.0241
24005450300,"Essex, MD",0.0158,0.0041,0.0119,0.0239
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.0151,0.0041,0.0117,0.0239
24003750801,"Glen Burnie, MD",0.0151,0.0041,0.0116,0.0234
24005451200,"Middle River, MD",0.0149,0.0037,0.0115,0.0229
24005491402,"Parkville, MD",0.0147,0.0037,0.0115,0.0226
24510270402,"Glenham-Belford, Baltimore, MD",0.0145,0.0037,0.0114,0.0226
24005441102,"Rosedale, MD",0.0145,0.0036,0.0114,0.0225
24005451802,"Middle River, MD",0.0143,0.0036,0.0113,0.0224
24005421101,"Baltimore, MD",0.0142,0.0035,0.0113,0.022
24510130804,"Hampden, Baltimore, MD",0.0142,0.0035,0.0111,0.022
24005403602,"Baltimore, MD",0.0142,0.0035,0.011,0.0219
24005403202,"Gwynn Oak, Baltimore, MD",0.014,0.0032,0.011,0.0219
24003750202,"Brooklyn Park, MD",0.0139,0.0031,0.0109,0.0217
24005430400,"Halethorpe, MD",0.0138,0.0031,0.0108,0.0211
24510280403,"Westgate, Baltimore, MD",0.0137,0.0026,0.0104,0.0202
24005420303,"Dundalk, MD",0.0136,0.0026,0.0102,0.0202
24510250103,"Violetville, Baltimore, MD",0.0134,0.0026,0.0101,0.02
24005401505,"Catonsville, MD",0.0133,0.0024,0.0098,0.0198
24003750101,"Brooklyn Park, MD",0.0133,0.0022,0.0097,0.0198
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.0129,0.0021,0.0096,0.0196
24510271101,"Radnor - Winston, Baltimore, MD",0.0127,0.0019,0.0095,0.0196
24003750300,"Linthicum Heights, MD",0.0125,0.0019,0.0093,0.0191
24005451100,"Essex, MD",0.0125,0.0019,0.0091,0.0181
24005411307,"Nottingham, MD",0.0123,0.0019,0.0088,0.0181
24005451702,"Middle River, MD",0.0121,0.0017,0.0088,0.0178
24005440400,"Baltimore, MD",0.0121,0.0015,0.0087,0.0177
24005441101,"Rosedale, MD",0.0117,0.0015,0.0087,0.0176
24005430700,"Halethorpe, MD",0.0117,0.0013,0.0086,0.017
24003750804,"Glen Burnie, MD",0.0117,0.0012,0.0085,0.0167
24005450900,"Essex, MD",0.0115,0.0012,0.0084,0.0163
24005400600,"Catonsville, MD",0.0113,0.001,0.0083,0.0163
24005440100,"Baltimore, MD",0.0113,0.0008,0.0081,0.016
24005420100,"Dundalk, MD",0.0111,0.0007,0.0081,0.0159
24510272006,"Glen, Baltimore, MD",0.011,0.0007,0.008,0.0151
24005420701,"Dundalk, MD",0.0109,0.0006,0.0079,0.015
24005401000,"Catonsville, MD",0.0109,0.0006,0.0078,0.0146
24510270502,"North Harford Road, Baltimore, MD",0.0108,0.0006,0.0078,0.014
24027601201,"Elkridge, MD",0.0106,0.0005,0.0077,0.014
24005440900,"Rosedale, MD",0.0104,0.0005,0.0077,0.0139
24027601204,"Elkridge, MD",0.0104,0.0005,0.0077,0.0137
24510130803,"Medfield, Baltimore, MD",0.0101,0.0004,0.0075,0.0136
24005420200,"Dundalk, MD",0.0099,0.0004,0.0074,0.0135
24005492102,"Parkville, MD",0.0099,0.0002,0.0073,0.0132
24005420800,"Dundalk, MD",0.0098,0.0002,0.0073,0.0125
24003751200,"Linthicum Heights, MD",0.0097,0.0001,0.0068,0.0121
24005401504,"Catonsville, MD",0.0093,0.0001,0.0066,0.0119
24005491000,"Baltimore, MD",0.0091,0.0001,0.0065,0.0117
24510040200,"Downtown, Baltimore, MD",0.009,0,0.0063,0.0117
24005402407,"Windsor Mill, Milford Mill, MD",0.0088,0,0.0062,0.0111
24005440800,"Rosedale, MD",0.0088,0,0.0062,0.0107
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.0086,0,0.0061,0.0103
24005451900,"Edgemere, MD",0.0086,0,0.006,0.01
24005400900,"Catonsville, MD",0.0079,0,0.0056,0.01
24510130700,"Hampden, Baltimore, MD",0.0077,0,0.0054,0.0099
24510220100,"Baltimore, MD",0.0076,0,0.0051,0.0098
24005440200,"Nottingham, MD",0.0073,0,0.0049,0.0094
24005403702,"Pikesville, MD",0.0067,0,0.0045,0.0092
24005403100,"Gwynn Oak, Pikesville, MD",0.0066,0,0.0043,0.0091
24005450501,"Essex, MD",0.0066,0,0.0043,0.009
24005430600,"Relay, Halethorpe, MD",0.0064,0,0.0042,0.0087
24510271400,"Evergreen, Baltimore, MD",0.0064,0,0.0042,0.0082
24005420900,"Dundalk, MD",0.0063,0,0.004,0.0081
24510272003,"Baltimore, MD",0.0062,0,0.004,0.0073
24005400500,"Catonsville, MD",0.0062,0,0.0039,0.0071
24005491300,"Baltimore, MD",0.006,0,0.0039,0.0067
24005411302,"White Marsh, MD",0.0057,0,0.0036,0.0066
24005411306,"Nottingham, MD",0.0053,0,0.0033,0.0055
24510272004,"Cheswolde, Baltimore, MD",0.0052,0,0.0029,0.0042
24027601104,"Ellicott City, MD",0.0051,0,0.0029,0.0036
24005440600,"Rosedale, MD",0.005,0,0.0026,0.0029
24510270703,"North Harford Road, Baltimore, MD",0.005,0,0.0023,0.0028
24510271102,"Mid-Charles, Baltimore, MD",0.0047,0,0.0016,0.0027
24027601103,"West Elkridge, Elkridge, MD",0.0045,0,0.0014,0.0025
24005450100,"Rosedale, MD",0.0044,0,0.0008,0.0015
24510271200,"Homeland, Baltimore, MD",0.004,0,0.0002,0.0004
24005403401,"Pikesville, MD",0.0037,0,0.0001,0
24003750400,"Linthicum Heights, MD",0.0035,0,0,0
24510020300,"Fells Point, Baltimore, MD",0.0034,0,0,0
24510120201,"Baltimore, MD",0.0033,0,0,0
24005420500,"Baltimore, MD",0.0033,0,0,0
24005430800,"Halethorpe, MD",0.0026,0,0,0
24005400400,"Catonsville, MD",0.0023,0,0,0
24005403300,"Lochearn, Pikesville, MD",0.0022,0,0,0
24005403601,"Baltimore, MD",0.002,0,0,0
24005491100,"Baltimore, MD",0.0017,0,0,0
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.0012,0,0,0
24005440500,"Nottingham, MD",0.0011,0,0,0
24510272005,"Cross Country, Baltimore, MD",0.0011,0,0,0
24510261100,"Canton, Baltimore, MD",0.001,0,0,0
24510270302,"Waltherson, Baltimore, MD",0.0008,0,0,0
24005401400,"Catonsville, MD",0.0007,0,0,0
24005490400,"Towson, MD",0.0006,0,0,0
24005490602,"Baltimore, MD",0.0005,0,0,0
24005403500,"Pikesville, MD",0.0003,,0,
24005401503,"Catonsville, MD",0.0003,,,
24003750203,"Baltimore, MD",0.0003,,,
24510271300,"Roland Park, Baltimore, MD",0.0002,,,
24510271503,"Cross Keys, Baltimore, MD",0.0001,,,
24510120202,"Baltimore, MD",0,,,
24005490601,"Baltimore, MD",0,,,
24510240200,"Riverside, Baltimore, MD",0,,,
24005490500,"Towson, MD",0,,,
24005400200,"Catonsville, MD",0,,,
24005490603,"Baltimore, MD",0,,,
24510271501,"Mount Washington, Baltimore, MD",0,,,
24510130805,"Cold Springs, Baltimore, MD",0,,,
24005492500,"Baltimore, MD",,,,
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",,,,
24510100300,"Penn - Fallsway, Baltimore, MD",,,,